Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y,CellName,cell_type
S1,47,280,357,295,0.681641455773345,18.8813948776526,1,0.784313725490196,22.8473193175917,22.13862101288,16.1985269692833,-0.271058514763981,62.2842712474619,0.949152542372881,0.13280116,0.0087725315,0.223529413342476,0.0533980578184128,0.0431372560560703,0,297.771428571429,39.1392857142857,S1-LMX-47,LMX+
S1,48,272,360,279,0.799801342385197,18.6097059667251,1,0.755555555555556,24.738633753706,24.49957410255,14.7062315936611,-1.39306326511656,62.8700576850888,0.974910394265233,0.10607,0.012350076,0.270588248968124,0.0339805819094181,0.0666666701436043,0,5.80514705882353,264.022058823529,S1-LMX-48,UNASSIGNED_LMX+
S1,49,264,330,277,0.766843212912993,18.3339913769502,1,0.8,22.8035085019828,22.9407846965437,14.7241863858231,-0.0418079088356718,60.8700576850888,0.953068592057762,0.1325608,0.018755488,0.215686276555061,0.0485436879098415,0.0509803928434849,0.00485436897724867,233.784090909091,296.943181818182,S1-LMX-49,LMX+
S1,50,190,300,204,0.868811208929355,15.5536334500875,1,0.633333333333333,22.3606797749979,22.1592712376498,10.972019065395,-0.499393105727772,54.2842712474619,0.931372549019608,0.2227452,0.009580993,0.30588236451149,0.0242718439549208,0.113725490868092,0.00485436897724867,26.4,110.794736842105,S1-LMX-50,LMX+
S1,51,286,440,314,0.676767660008795,19.0826232419512,1,0.65,24.8394846967484,22.6932340941936,16.7066833323298,0.743701996906722,67.3553390593274,0.910828025477707,0.22339231,0.030076744,0.513725519180298,0.174757286906242,0.0313725508749485,0.00485436897724867,302.024475524476,191.891608391608,S1-LMX-51,LMX+
S1,52,164,208,173,0.682852755370086,14.4503039876871,1,0.788461538461538,17.464249196573,16.9808677300951,12.4054753324503,-0.31381587153693,46.3847763108502,0.947976878612717,0.13139655,0.19023797,0.200000002980232,0.480582535266876,0.0470588244497776,0.00970873795449734,187.932926829268,43.3048780487805,S1-LMX-52,LMX+
S1,53,356,462,373,0.574915769046849,21.2902155443696,1,0.770562770562771,25.0599281722833,23.5703581227094,19.2855639982283,0.552335585437062,69.9411254969543,0.954423592493298,0.07920265,0.015040348,0.117647059261799,0.0339805819094181,0.0431372560560703,0,50.6544943820225,261.137640449438,S1-LMX-53,UNASSIGNED_LMX+
S1,54,258,396,283,0.745086619443005,18.1244531653143,1,0.651515151515152,23.7697286480094,22.5135254182368,15.0157945486725,0.565640733693161,62.5269119345812,0.911660777385159,0.14499143,0.009727546,0.223529413342476,0.029126213863492,0.0549019612371922,0,70.6356589147287,101.255813953488,S1-LMX-54,LMX+
S1,55,127,165,133,0.729042920894078,12.716187407449,1,0.76969696969697,15.8113883008419,15.3841889065702,10.5299847480733,-1.3498286482776,40.3847763108502,0.954887218045113,0.1751428,0.0050837123,0.321568638086319,0.0339805819094181,0.0745098069310188,0,207.196850393701,19.7007874015748,S1-LMX-55,LMX+
S1,1,507,627,528,0.820407786844773,25.4073306189518,1,0.808612440191388,33.3766385365573,33.6753902925826,19.2548762286,0.0199636337451852,85.9411254969543,0.960227272727273,0.07225129,0.526876,0.137254908680916,0.898058235645294,0.0352941192686558,0.126213595271111,182.001972386588,350.278106508876,S1-TH-1,TH+
S1,2,954,1176,975,0.744953409862817,34.8521236896311,1,0.811224489795918,42.9534631898291,42.7258982640064,28.5031514710387,0.0807362813663637,116.083261120685,0.978461538461539,0.11000058,0.25647253,0.427450984716415,0.689320385456085,0.0392156876623631,0.101941749453545,327.982180293501,288.333333333333,S1-TH-2,TH+
S1,3,732,920,753,0.806962641925059,30.5288608818957,1,0.795652173913044,40.3112887414927,39.7401641377498,23.4706396688016,0.0205784717837442,103.840620433566,0.972111553784861,0.05946618,0.10151737,0.164705887436867,0.242718443274498,0.0196078438311815,0.0242718439549208,43.8483606557377,132.323770491803,S1-TH-3,TH+
S1,4,614,828,636,0.820248290676971,27.9601337705561,1,0.741545893719807,37.107950630559,37.0378376786583,21.1859261673469,-0.264572722790842,96.6690475583121,0.965408805031447,0.03932412,0.31301188,0.23137255012989,0.597087383270264,0.00392156885936856,0.0825242698192596,287.099348534202,269.35342019544,S1-TH-4,TH+
S1,5,488,624,503,0.591458255225378,24.926710529686,1,0.782051282051282,29.0688837074973,27.8240558759693,22.4355273498908,-0.560163218046268,80.7695526217005,0.970178926441352,0.061491493,0.247155,0.180392161011696,0.567961156368256,0.0235294122248888,0.0339805819094181,349.030737704918,126.938524590164,S1-TH-5,TH+
S1,6,380,486,396,0.72811291214228,21.9961593692936,1,0.781893004115226,27.2946881279124,26.6509022429985,18.2680531038415,0.113905018702115,73.1126983722081,0.95959595959596,0.15106319,0.1699541,0.290196090936661,0.334951460361481,0.0431372560560703,0.0679611638188362,379.902631578947,338.131578947368,S1-TH-6,TH+
S1,7,372,462,387,0.532042685550733,21.7633892268985,1,0.805194805194805,25.0599281722833,23.7527809743502,20.1118961093658,-1.04071929796075,70.2842712474619,0.961240310077519,0.035483874,0.28655142,0.137254908680916,0.54368931055069,0.0117647061124444,0.058252427726984,485.879032258065,116.161290322581,S1-TH-7,TH+
S1,8,468,572,480,0.621655208185123,24.4105736707693,1,0.818181818181818,29.0688837074973,27.5957152215735,21.6154755734096,-0.407849449215856,78.5269119345812,0.975,0.25059474,0.12557042,0.854901969432831,0.203883498907089,0.0235294122248888,0.029126213863492,175.220085470085,309.429487179487,S1-TH-8,TH+
S1,9,195,272,204,0.761206727970523,15.7569575497098,1,0.716911764705882,20,19.6224504918987,12.7253417100328,0.837913829573941,52.0416305603426,0.955882352941176,0.056128766,0.32870296,0.125490203499794,0.635922312736511,0.0352941192686558,0.058252427726984,290.194871794872,220.261538461538,S1-TH-9,TH+
