Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y
S1-LMX,11,311,408,322,0.7454685135569251,19.899183360445615,1,0.7622549019607843,25.0,24.418410432585695,16.275867872771904,-0.3260784845438185,65.11269837220809,0.9658385093167702,0.19858786,0.036384415,0.34117648005485535,0.14077669382095337,0.07450980693101883,0.004854368977248669,217.66881028938906,148.16077170418006
S1-LMX,12,239,315,251,0.7716236116851255,17.44431859350499,1,0.7587301587301587,22.135943621178654,21.89837949881786,13.929108071676957,-0.33794456254747013,57.45584412271571,0.952191235059761,0.27569097,0.020534584,0.4000000059604645,0.04368932172656059,0.1411764770746231,0.014563106931746006,301.9456066945607,336.9958158995816
S1-LMX,13,405,520,420,0.6360544575979623,22.708192698181442,1,0.7788461538461539,26.68332812825267,25.94525618141652,20.02050570306459,0.12318005284875887,73.94112549695427,0.9642857142857143,0.17412761,0.011111112,0.250980406999588,0.09223300963640213,0.0470588244497776,0.0,318.3777777777778,47.81975308641975
S1-LMX,14,289,368,302,0.7715191156383792,19.182445840623714,1,0.7853260869565217,24.351591323771842,24.10309875771658,15.334539453579037,-0.16878289320286394,63.45584412271571,0.956953642384106,0.19516967,0.019787012,0.32156863808631897,0.1990291327238083,0.10196078568696976,0.0,48.951557093425606,161.54671280276816
S1-LMX,15,311,400,327,0.8209491245218283,19.899183360445615,1,0.7775,25.96150997149434,26.50697327755028,15.135517369105623,-0.20031736297409677,67.4558441227157,0.9510703363914373,0.14193326,0.010692093,0.23529411852359772,0.0776699036359787,0.07058823853731155,0.004854368977248669,129.02893890675242,73.54019292604502
S1-LMX,16,462,616,481,0.7165147292071794,24.253590861306396,1,0.75,29.966648127543394,29.096305889962064,20.296767200390768,0.37233290973489724,80.76955262170047,0.9604989604989606,0.15271209,0.029178796,0.2235294133424759,0.11650485545396805,0.08235294371843338,0.009708737954497337,123.3961038961039,209.3181818181818
S1-LMX,17,320,414,335,0.7066947603136402,20.185060176161283,1,0.7729468599033816,24.698178070456937,24.086361830491988,17.041548089026964,-0.3092772369801867,66.2842712474619,0.9552238805970149,0.11694826,0.008828887,0.18431372940540314,0.06796116381883621,0.0235294122248888,0.0,55.365625,49.684375
S1-LMX,18,266,357,276,0.7538628202154679,18.403307281560924,1,0.7450980392156863,23.706539182259394,22.707318848627164,14.919431649139714,-0.5375147462037763,60.284271247461895,0.9637681159420289,0.23701906,0.023560096,0.364705890417099,0.07281553745269775,0.0941176488995552,0.004854368977248669,237.70676691729324,202.92857142857142
S1-LMX,19,287,400,306,0.8120879143598371,19.115955360352558,1,0.7175,25.709920264364882,25.085840617558258,14.638468651318611,-0.19688228830528975,65.11269837220809,0.9379084967320261,0.14744821,0.06380027,0.23137255012989044,0.11650485545396805,0.062745101749897,0.019417475908994675,107.88501742160278,227.6341463414634
S1-LMX,20,354,437,364,0.5552337190471303,21.23032733700184,1,0.8100686498855835,24.166091947189145,23.29074342974243,19.370780073623216,0.26683035846042724,67.698484809835,0.9725274725274725,0.14186336,0.019348888,0.27450981736183167,0.04368932172656059,0.0470588244497776,0.009708737954497337,283.6977401129943,183.8418079096045
S1-LMX,21,285,400,309,0.8216818446478928,19.04923279949934,1,0.7125,25.96150997149434,25.779248278679884,14.692790820922584,0.14006536181521415,66.8700576850888,0.9223300970873787,0.15896825,0.005143926,0.25882354378700256,0.019417475908994675,0.0784313753247261,0.0,66.17894736842105,86.27719298245614
S1-LMX,22,306,384,316,0.7630701689653245,19.738573927438622,1,0.796875,25.298221281347036,24.60822057152303,15.904678032151075,-0.22718209702029818,64.8700576850888,0.9683544303797469,0.2001158,0.022241244,0.32156863808631897,0.04854368790984154,0.10980392247438431,0.004854368977248669,175.56209150326796,247.70261437908496
S1-LMX,23,357,456,368,0.6816285112424182,21.320096563347295,1,0.7828947368421053,26.0,25.039761475789096,18.321553820565594,-0.414603858153983,69.698484809835,0.970108695652174,0.23025209,0.017622568,0.364705890417099,0.06310679763555527,0.0941176488995552,0.004854368977248669,364.4201680672269,101.45658263305322
S1-LMX,24,208,270,215,0.6788741154062302,16.273715780512877,1,0.7703703703703704,19.697715603592208,18.978555840454355,13.935093449753376,-0.49491242144885483,51.45584412271571,0.9674418604651163,0.21095417,0.086281665,0.3176470696926117,0.21844659745693207,0.0941176488995552,0.033980581909418106,202.45673076923077,94.11538461538461
S1-LMX,25,273,342,286,0.5699264920578657,18.643883600599406,1,0.7982456140350878,21.95449840010015,20.605442395121486,16.931403039679292,1.0929884009095678,60.04163056034261,0.9545454545454546,0.19040456,0.021444578,0.29411765933036804,0.08252426981925964,0.08627451211214066,0.009708737954497337,314.01831501831504,90.82783882783883
S1-LMX,26,359,462,376,0.6210603592207926,21.37973331358283,1,0.7770562770562771,25.238858928247925,24.23211980354076,18.992232576010082,0.7251443545923781,70.2842712474619,0.9547872340425532,0.113987766,0.013738242,0.1764705926179886,0.1116504818201065,0.0470588244497776,0.0,18.027855153203344,459.44846796657384
S1-LMX,27,270,324,280,0.4977202764413374,18.5411616971131,1,0.8333333333333334,21.633307652783937,19.95088308984317,17.304151218564396,0.6260073675886695,59.21320343559643,0.9642857142857143,0.120740764,0.026501242,0.21176470816135406,0.13106796145439148,0.062745101749897,0.009708737954497337,463.3296296296296,218.05555555555554
S1-LMX,28,321,420,334,0.6166520171210509,20.216574731145414,1,0.7642857142857142,23.706539182259394,22.86251745155132,17.998193449943756,0.9822279289450218,65.698484809835,0.9610778443113772,0.13384663,0.095801964,0.239215686917305,0.47087377309799194,0.06666667014360428,0.009708737954497337,197.99376947040497,58.15264797507788
S1-LMX,29,428,528,439,0.5027005917794033,23.34408972623798,1,0.8106060606060606,26.40075756488817,25.137135097518215,21.73006268618368,-0.38667382760650765,74.5269119345812,0.9749430523917996,0.11621724,0.16087465,0.18039216101169586,0.6165048480033875,0.0470588244497776,0.02427184395492077,159.8341121495327,352.6214953271028
S1-LMX,30,285,352,298,0.683703645664564,19.04923279949934,1,0.8096590909090909,22.80350850198276,22.405507432318714,16.350637996512116,-0.0961737245173214,62.04163056034261,0.9563758389261745,0.14384589,0.011360916,0.1882352977991104,0.04368932172656059,0.07450980693101883,0.0,146.8736842105263,136.59649122807016
S1-LMX,31,480,595,498,0.883606780759055,24.721548929484133,1,0.8067226890756303,35.6931365951495,36.186686819296874,16.943681707937735,-0.10799634378618331,87.11269837220809,0.963855421686747,0.13846427,0.021470493,0.2078431397676468,0.06796116381883621,0.0941176488995552,0.009708737954497337,122.17708333333333,246.87916666666666
S1-LMX,32,382,500,398,0.6692789860557977,22.05396803500069,1,0.764,26.248809496813376,25.63063464168769,19.043848524244076,0.22919698757956694,71.94112549695429,0.9597989949748744,0.13715224,0.014537679,0.21568627655506134,0.04368932172656059,0.05098039284348488,0.0,31.691099476439792,205.7408376963351
S1-LMX,33,199,270,211,0.7529954322056464,15.91774699517169,1,0.737037037037037,20.591260281974,19.691655578646593,12.957616302416575,-0.506542630075915,52.62741699796952,0.943127962085308,0.32714558,0.024662118,0.4745098054409027,0.06796116381883621,0.12941177189350128,0.014563106931746006,9.21105527638191,343.7638190954774
S1-LMX,34,378,494,394,0.7035994372194486,21.938198374294355,1,0.7651821862348178,27.202941017470888,26.20049439898297,18.61798784288424,-0.2769976269921536,73.11269837220809,0.9593908629441624,0.12145456,0.012187279,0.1882352977991104,0.033980581909418106,0.07450980693101883,0.004854368977248669,29.88888888888889,275.2645502645503
S1-LMX,35,319,378,331,0.4599097659707861,20.153496341094687,1,0.843915343915344,22.47220505424423,21.466975011444852,19.061936559604987,-1.4214430905175206,65.4558441227157,0.9637462235649547,0.16475523,0.021137029,0.3764705955982208,0.16019417345523834,0.03921568766236305,0.0,501.5297805642633,89.10031347962382
S1-LMX,36,452,550,459,0.6225071340782242,23.98967015655475,1,0.8218181818181818,28.653097563788805,27.378557373404757,21.426845711568152,-0.46372417777028646,77.698484809835,0.9847494553376906,0.09460332,0.0048973258,0.12156862765550613,0.019417475908994675,0.03921568766236305,0.0,10.9070796460177,79.67256637168141
S1-LMX,37,351,437,365,0.609098686134035,21.14017691983778,1,0.8032036613272311,24.698178070456937,23.784031155052045,18.8629828667229,-0.31800942305328495,68.2842712474619,0.9616438356164384,0.12321104,0.026913425,0.1882352977991104,0.1893203854560852,0.062745101749897,0.004854368977248669,68.93447293447294,302.94017094017096
S1-LMX,38,418,540,434,0.8109755179853111,23.06976657227589,1,0.774074074074074,30.59411708155671,30.192436000809785,17.664993108530577,1.3794052303767441,77.94112549695427,0.9631336405529954,0.11374426,0.0149115,0.1882352977991104,0.0776699036359787,0.03529411926865578,0.0,222.44258373205741,107.48086124401914
S1-LMX,39,319,414,332,0.6781945024672617,20.153496341094687,1,0.7705314009661836,24.041630560342615,23.515482974014972,17.28111576495953,0.12844242011769794,65.11269837220809,0.9608433734939759,0.125392,0.007867421,0.20392157137393951,0.033980581909418106,0.054901961237192154,0.0,52.974921630094045,105.27272727272727
S1-LMX,40,292,368,310,0.7679409124439285,19.281751659604673,1,0.7934782608695652,24.351591323771842,24.148333825394513,15.467507456948395,0.1531782145038286,64.04163056034261,0.9419354838709677,0.1403305,0.018536357,0.22745098173618317,0.12621359527111053,0.054901961237192154,0.004854368977248669,134.0513698630137,189.37328767123287
S1-LMX,41,314,391,323,0.6838102789406387,19.994929783493642,1,0.80306905370844,23.769728648009426,23.454220369725057,17.113603008661663,1.5352629662419406,64.2842712474619,0.9721362229102167,0.10753077,0.026034249,0.23137255012989044,0.20388349890708923,0.03529411926865578,0.004854368977248669,216.35668789808918,191.56050955414014
S1-LMX,42,306,468,326,0.8751544470604715,19.738573927438622,1,0.6538461538461539,27.85677655436824,28.520605158556908,13.799514175964628,0.3864510289149538,69.94112549695429,0.9386503067484663,0.1740743,0.1386827,0.29019609093666077,0.3349514603614807,0.11372549086809158,0.02427184395492077,375.6437908496732,334.2712418300654
S1-LMX,43,134,169,140,0.2858841056530051,13.061933202803933,1,0.7928994082840237,14.317821063276353,13.338501790865116,12.781808755709669,-0.883741414424599,40.384776310850235,0.9571428571428572,0.18115313,0.07046082,0.25882354378700256,0.17961165308952332,0.0784313753247261,0.02427184395492077,336.92537313432837,168.82835820895522
